Date,CORESTICKM159SFRBATL
1975-11-02,8.106261978200001
1975-11-09,8.1029364314
1975-11-16,8.0996108846
1975-11-23,8.0962853378
1975-11-30,8.092959791
1975-12-07,8.0114056534
1975-12-14,7.9298515158
1975-12-21,7.8482973782
1975-12-28,7.7667432406
1976-01-04,7.6863597596
1976-01-11,7.6875304162
1976-01-18,7.6887010728
1976-01-25,7.6898717294
1976-02-01,7.6275671598
1976-02-08,7.5640919336
1976-02-15,7.5006167074
1976-02-22,7.4371414812
1976-02-29,7.373666255
1976-03-07,7.3658957418
1976-03-14,7.3581252286
1976-03-21,7.3503547154
1976-03-28,7.342584202199999
1976-04-04,7.2373429958
1976-04-11,7.1398723026
1976-04-18,7.0424016094
1976-04-25,6.9449309162
1976-05-02,6.867198035333333
1976-05-09,6.886935847666667
1976-05-16,6.90667366
1976-05-23,6.926411472333333
1976-05-30,6.946149284666667
1976-06-06,6.946913079200001
1976-06-13,6.9279390614
1976-06-20,6.9089650436
1976-06-27,6.8899910258
1976-07-04,6.9145323618
1976-07-11,6.9580477156
1976-07-18,7.0015630693999995
1976-07-25,7.0450784232
1976-08-01,7.132582576166667
1976-08-08,7.176571375333333
1976-08-15,7.2205601745
1976-08-22,7.264548973666667
1976-08-29,7.308537772833334
1976-09-05,7.3004579568
1976-09-12,7.2483893416
1976-09-19,7.1963207264
1976-09-26,7.1442521112
1976-10-03,7.0494215834
1976-10-10,7.0066596707999995
1976-10-17,6.9638977582
1976-10-24,6.921135845599999
1976-10-31,6.878373933
1976-11-07,6.8251449552
1976-11-14,6.7719159774
1976-11-21,6.7186869996
1976-11-28,6.6654580218
1976-12-05,6.5291187628000005
1976-12-12,6.4460084816
1976-12-19,6.3628982004
1976-12-26,6.2797879191999995
1977-01-02,6.172049395833334
1977-01-09,6.1474211536666665
1977-01-16,6.1227929114999995
1977-01-23,6.098164669333333
1977-01-30,6.073536427166667
1977-02-06,6.049589372
1977-02-13,6.050270559
1977-02-20,6.050951746
1977-02-27,6.0516329330000005
1977-03-06,6.0624289756000005
1977-03-13,6.0725438312
1977-03-20,6.0826586868
1977-03-27,6.0927735424
1977-04-03,6.1984418614
1977-04-10,6.2939953248
1977-04-17,6.3895487882
1977-04-24,6.4851022516
1977-05-01,6.607386669833334
1977-05-08,6.634117624666667
1977-05-15,6.6608485795
1977-05-22,6.6875795343333335
1977-05-29,6.714310489166667
1977-06-05,6.776876626
1977-06-12,6.812711808
1977-06-19,6.84854699
1977-06-26,6.8843821720000005
1977-07-03,6.912404049
1977-07-10,6.904590744
1977-07-17,6.896777439
1977-07-24,6.888964134
1977-07-31,6.881150829
1977-08-07,6.8714550986
1977-08-14,6.8617593682
1977-08-21,6.8520636378
1977-08-28,6.8423679074
1977-09-04,6.8408356134
1977-09-11,6.8489990498
1977-09-18,6.8571624862
1977-09-25,6.865325922599999
1977-10-02,6.886265225
1977-10-09,6.899041091
1977-10-16,6.911816956999999
1977-10-23,6.924592822999999
1977-10-30,6.9373686889999995
1977-11-06,6.9600154696
1977-11-13,6.9698863842
1977-11-20,6.9797572988
1977-11-27,6.9896282134
1977-12-04,7.0723978308
1977-12-11,7.1452965336
1977-12-18,7.218195236400001
1977-12-25,7.2910939392000005
1978-01-01,7.365325154666667
1978-01-08,7.3666576673333335
1978-01-15,7.36799018
1978-01-22,7.369322692666667
1978-01-29,7.370655205333334
1978-02-05,7.3657972696
1978-02-12,7.3596068212
1978-02-19,7.3534163728
1978-02-26,7.3472259244
1978-03-05,7.359549017
1978-03-12,7.378062558
1978-03-19,7.396576099
1978-03-26,7.41508964
1978-04-02,7.429644039799999
1978-04-09,7.425684898599999
1978-04-16,7.4217257574
1978-04-23,7.4177666162
1978-04-30,7.413807475
1978-05-07,7.4597442624
1978-05-14,7.5056810498
1978-05-21,7.5516178372
1978-05-28,7.5975546246
1978-06-04,7.6506259502
1978-06-11,7.6577604884
1978-06-18,7.6648950266
1978-06-25,7.6720295648
1978-07-02,7.718109838833334
1978-07-09,7.7570555746666665
1978-07-16,7.7960013104999994
1978-07-23,7.834947046333333
1978-07-30,7.873892782166667
1978-08-06,7.9655897374
1978-08-13,8.0183409568
1978-08-20,8.0710921762
1978-08-27,8.123843395600002
1978-09-03,8.2565053244
1978-09-10,8.3364160338
1978-09-17,8.4163267432
1978-09-24,8.4962374526
1978-10-01,8.65286773
1978-10-08,8.729587298
1978-10-15,8.806306866
1978-10-22,8.883026434000001
1978-10-29,8.959746002000001
1978-11-05,9.0714774082
1978-11-12,9.1064892464
1978-11-19,9.1415010846
1978-11-26,9.1765129228
1978-12-03,9.180822326
1978-12-10,9.150119891
1978-12-17,9.119417456
1978-12-24,9.088715021
1978-12-31,9.058012586
1979-01-07,9.060513336
1979-01-14,9.063014086
1979-01-21,9.065514836
1979-01-28,9.068015586000001
1979-02-04,9.1706843362
1979-02-11,9.2708523364
1979-02-18,9.3710203366
1979-02-25,9.4711883368
1979-03-04,9.592114102
1979-03-11,9.612871866999999
1979-03-18,9.633629632
1979-03-25,9.654387396999999
1979-04-01,9.715779887
1979-04-08,9.756414612
1979-04-15,9.797049337
