Date,GDP,GDP_standardized
2018-07-01,20798.73,0.733045225309181
2018-10-01,20917.867,0.7372938462913354
2019-01-01,21104.133,0.7439363976050498
2019-04-01,21384.775,0.7539445519959929
2019-07-01,21694.282,0.764982079668535
2019-10-01,21902.39,0.7724035525556665
2020-01-01,21706.513,0.7654182572055951
2020-04-01,19913.143,0.7014637392072717
2020-07-01,21647.64,0.763318749386174
2020-10-01,22024.502,0.7767582669212527
2021-01-01,22600.185,0.7972880676789486
2021-04-01,23292.362,0.8219722357003415
2021-07-01,23828.973,0.8411086648017531
2021-10-01,24654.603,0.8705519858648665
2022-01-01,25029.116,0.8839077342040861
2022-04-01,25544.273,0.9022790784489783
2022-07-01,25994.639,0.9183398692801134
2022-10-01,26408.405,0.9330954440327268
2023-01-01,26813.601,0.9475453985177738
2023-04-01,27063.012,0.9564398041833531
2023-07-01,27610.128,0.9759508588286135
2023-10-01,27956.998,0.9883208124121342
2024-01-01,28284.498,1.0
